* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 10:11:03 AM PST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 11:14:22 AM PST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 11:37:51 AM PST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 10:01:48 AM PST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 11:25:41 AM PST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 11:04:04 AM PST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 11:46:31 AM PST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 10:34:56 AM PST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 10:52:46 AM PST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C300FKIU
* Experiment Comments = 
* Experiment File Name = D:\Documents and Settings\INSTR-ADMIN\Desktop\6_30_13 apap\2013-06-30 200940\506.eds
* Experiment Name = _C300FKIU
* Experiment Run End Time = 2013-07-01 11:30:01 AM PDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Threshold	Tm1	MTP
172	hsa-mir-542-3p	25.285	0.040	75.889	N
173	hsa-mir-199a-3p	21.239	0.040	75.621	N
174	hsa-mir-337-3p	24.381	0.040	77.365	N
175	hsa-mir-4301	20.510	0.040	76.024	N
176	hsa-mir-381-3p	21.147	0.040	79.242	N
177	hsa-mir-412	20.531	0.040	78.706	N
178	hsa-mir-505-3p	16.722	0.040	76.024	N
179	hsa-mir-136-3p	26.185	0.040	78.706	N
180	hsa-mir-363-3p	22.647	0.040	75.487	N
181	hsa-mir-1301	20.518	0.040	78.437	N
182	hsa-let-7g-3p	18.970	0.040	78.840	N
183	hsa-mir-598	22.470	0.040	76.962	N
184	hsa-mir-221-3p	17.852	0.040	75.889	N
185	hsa-mir-28-3p	19.687	0.040	75.621	N
186	hsa-mir-629-3p	20.184	0.040	79.644	N
187	hsa-mir-4267	19.985	0.040	79.644	N
188	hsa-mir-3131	17.497	0.040	77.901	N
189	hsa-mir-124-3p	21.557	0.040	79.376	N
190	hsa-mir-155-5p	21.601	0.040	75.487	N
191	hsa-mir-486-3p	24.397	0.040	78.035	N
192	hsa-mir-26a-5p	19.235	0.040	75.353	N
193	hsa-mir-98-5p	27.452	0.040	75.621	N
194	hsa-mir-144-3p	18.627	0.040	75.755	N
195	hsa-mir-20a-5p	16.972	0.040	75.621	N
196	hsa-mir-195-5p	15.820	0.040	76.292	N
197	hsa-mir-3191-3p	19.107	0.040	79.108	N
198	hsa-mir-4454	16.802	0.040	77.230	N
199	hsa-mir-766-3p	16.117	0.040	79.376	N
200	hsa-mir-99b-5p	22.650	0.040	76.560	N
201	hsa-mir-140-5p	25.059	0.040	75.219	N
202	hsa-let-7d-3p	19.163	0.040	76.024	N
203	hsa-mir-328	19.699	0.040	72.537	N
204	hsa-mir-652-3p	22.316	0.040	76.694	N
205	hsa-mir-133a	23.438	0.040	78.303	N
206	hsa-mir-379-5p	26.993	0.040	76.560	N
207	hsa-mir-27a-3p	15.306	0.040	75.889	N
208	hsa-mir-664a-3p	22.133	0.040	75.889	N
209	hsa-mir-185-5p	18.816	0.040	75.889	N
210	hsa-mir-519b-5p	21.497	0.040	77.230	N
211	hsa-mir-4258	19.115	0.040	81.119	N
212	hsa-mir-141-3p	24.993	0.040	77.499	N
