* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009U4T
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\4-10-13 67 miscript.eds
* Experiment Name = _C3009U4T
* Experiment Run End Time = 2013-04-10 23:27:31 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP
33	hsa-mir-660-5p	21.521	3	18	N
34	hsa-mir-3120-3p	25.459	3	22	N
35	hsa-mir-151b	20.680	3	18	N
36	hsa-mir-423-5p	18.976	3	16	N
37	hsa-mir-4687-5p	18.547	3	15	N
38	hsa-mir-93-3p	23.542	3	20	N
39	hsa-mir-2276	23.671	3	20	N
40	hsa-mir-33a-5p	28.660	3	25	N
41	hsa-mir-150-5p	19.985	3	17	N
42	hsa-mir-21-5p	13.735	3	11	N
43	hsa-mir-329	25.647	3	22	N
44	hsa-mir-550a-5p	25.697	3	22	N
45	hsa-mir-378b	21.801	3	19	N
46	hsa-mir-28-5p	24.079	3	21	N
47	hsa-mir-138-1-3p	18.918	3	16	N
48	hsa-mir-193a-5p	18.279	3	15	N
49	hsa-mir-26b-3p	26.175	3	23	N
50	hsa-mir-16-2-3p	25.432	3	22	N
51	hsa-mir-146a-5p	23.709	3	21	N
52	hsa-mir-3200-3p	27.135	3	24	N
53	hsa-mir-21-3p	25.488	3	22	N
54	hsa-let-7g-5p	22.000	3	19	N
55	hsa-mir-338-3p	27.769	3	25	N
56	hsa-mir-2110	22.820	3	20	N
57	hsa-mir-3200-5p	21.634	3	18	N
58	hsa-mir-196b-5p	24.794	3	22	N
59	hsa-mir-769-5p	24.305	3	21	N
60	hsa-mir-29c-3p	21.877	3	19	N
61	hsa-mir-4651	18.843	3	16	N
62	hsa-mir-127-3p	23.940	3	21	N
63	hsa-mir-29c-5p	26.274	3	23	N
64	hsa-mir-181b-5p	22.223	3	19	N
65	hsa-mir-1180	23.392	3	20	N
66	hsa-mir-133b	27.243	3	24	N
67	hsa-mir-324-3p	20.258	3	17	N
68	hsa-mir-3235b	18.442	3	15	N
69	hsa-mir-502-3p	24.898	3	22	N
70	hsa-mir-3655	24.011	3	21	N
71	hsa-mir-130b-5p	28.832	3	26	N
72	hsa-mir-324-5p	24.477	3	21	N
73	hsa-mir-373-3p	26.567	3	23	N
74	hsa-mir-3646	16.298	3	13	N
75	hsa-mir-1	28.721	3	25	N
76	hsa-mir-3907	19.701	3	16	N
77	hsa-mir-422a	23.126	3	20	N
78	hsa-mir-338-5p	22.765	3	20	N
79	hsa-mir-631	20.226	3	17	N
80	hsa-mir-143-3p	26.078	3	23	N
81	hsa-mir-627	24.175	3	21	N
82	hsa-let-7i-3p	24.953	3	22	N
83	hsa-mir-451a	18.859	3	16	N
84	hsa-mir-29b-3p	24.363	3	21	N
85	hsa-mir-194-5p	17.871	3	15	N
86	hsa-mir-605	22.129	3	19	N
87	hsa-mir-30b-5p	23.910	3	21	N
88	hsa-mir-199a-5p	26.902	3	24	N
89	hsa-mir-125a-5p	21.935	3	19	N
90	hsa-mir-376c-3p	26.980	3	24	N
91	hsa-mir-503-5p	26.134	3	23	N
92	hsa-mir-361-3p	28.442	3	25	N
93	hsa-mir-590-5p	26.952	3	24	N
94	hsa-mir-1207-5p	18.174	3	15	N
95	hsa-mir-342-5p	25.750	3	22	N
96	hsa-mir-1193	26.711	3	24	N
97	hsa-mir-624-5p	27.452	3	24	N
98	hsa-mir-4689	20.772	3	17	N
99	hsa-mir-139-3p	23.112	3	20	N
100	hsa-mir-4516	12.836	3	10	N
101	hsa-mir-1539	21.558	3	18	N
102	hsa-mir-377-3p	30.005	3	27	N
103	hsa-mir-130a-3p	20.943	3	18	N
