* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009S22
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\353.eds
* Experiment Name = _C3009S22
* Experiment Run End Time = 2013-05-20 20:49:22 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP
295	hsa-mir-744-5p	25.259	3	22	N
296	hsa-mir-2355-5p	30.473	3	27	N
297	hsa-mir-16-5p	18.010	3	15	N
298	hsa-mir-490-3p	20.754	3	18	N
299	hsa-mir-34c-3p	23.169	3	20	N
300	hsa-mir-136-5p	30.384	3	27	N
301	hsa-mir-106b-5p	21.712	3	19	N
302	hsa-mir-196b-3p	26.012	3	22	N
303	hsa-mir-378a-5p	25.601	3	22	N
304	hsa-mir-145-3p	25.159	3	22	N
305	hsa-mir-320e	25.264	3	22	N
306	hsa-mir-874	26.789	3	24	N
307	hsa-mir-4274	21.023	3	18	N
308	hsa-mir-200a-3p	28.400	3	25	N
309	hsa-mir-340-3p	29.080	3	26	N
310	hsa-mir-1260b	19.403	3	16	N
311	hsa-mir-126-3p	19.447	3	16	N
312	hsa-mir-326	22.138	3	19	N
313	hsa-mir-223-3p	18.573	3	16	N
314	hsa-mir-219-1-3p	26.292	3	23	N
315	hsa-mir-25-3p	20.530	3	17	N
316	hsa-mir-210	25.539	3	22	N
317	hsa-mir-19a-3p	21.513	3	18	N
318	hsa-mir-17-3p	27.001	3	24	N
319	hsa-mir-151a-5p	23.331	3	20	N
320	hsa-mir-320a	20.227	3	17	N
321	hsa-mir-625-3p	25.606	3	23	N
322	hsa-mir-15b-3p	25.444	3	22	N
323	hsa-mir-30a-5p	21.988	3	19	N
324	hsa-mir-206	29.757	3	26	N
325	hsa-mir-4538	21.813	3	19	N
326	hsa-mir-1237-3p	23.375	3	20	N
327	hsa-mir-19b-3p	21.591	3	18	N
328	hsa-mir-142-3p	20.889	3	18	N
329	hsa-mir-30e-5p	21.696	3	18	N
330	hsa-mir-499a-5p	30.030	3	27	N
331	hsa-mir-1307-3p	26.923	3	23	N
332	hsa-mir-500a-5p	27.564	3	24	N
333	hsa-mir-204-5p	28.228	3	25	N
334	hsa-mir-20b-5p	22.366	3	19	N
335	hsa-mir-200c-3p	27.689	3	25	N
336	hsa-mir-190a	29.317	3	26	N
337	hsa-mir-193b-3p	25.345	3	22	N
338	hsa-mir-425-3p	25.234	3	22	N
339	hsa-mir-576-5p	28.323	3	25	N
340	hsa-mir-590-3p	28.145	3	25	N
341	hsa-mir-10b-5p	25.963	3	23	N
342	hsa-mir-96-5p	29.990	3	27	N
343	hsa-mir-1277-3p	31.736	3	29	N
344	hsa-mir-486-5p	18.256	3	15	N
345	hsa-mir-188-5p	24.541	3	21	N
346	hsa-mir-615-5p	27.034	3	24	N
347	hsa-mir-30a-3p	25.483	3	22	N
348	hsa-mir-378i	27.059	3	24	N
349	hsa-mir-93-5p	21.553	3	18	N
350	hsa-mir-154-5p	26.212	3	23	N
351	hsa-mir-425-5p	23.736	3	21	N
352	hsa-mir-362-3p	25.358	3	22	N
353	hsa-mir-92a-3p	18.951	3	16	N
354	hsa-mir-222-3p	22.086	3	19	N
355	hsa-mir-296-5p	25.035	3	22	N
356	hsa-mir-365a-3p	25.294	3	22	N
357	hsa-mir-551b-3p	32.820	3	30	N
358	hsa-mir-2467-3p	23.345	3	20	N
359	hsa-mir-2355-3p	27.958	3	25	N
360	hsa-mir-200b-3p	28.694	3	26	N
361	hsa-mir-18a-5p	24.759	3	21	N
362	hsa-mir-142-5p	23.402	3	20	N
363	hsa-mir-487a	26.921	3	24	N
364	hsa-mir-145-5p	24.236	3	21	N
365	hsa-mir-1233-3p	22.977	3	20	N
366	hsa-mir-369-3p	25.631	3	22	N
367	hsa-mir-637	20.554	3	17	N
368	hsa-mir-202-3p	25.447	3	22	N
369	hsa-mir-942	25.440	3	22	N
370	hsa-mir-4688	23.318	3	20	N
371	hsa-mir-197-3p	22.007	3	19	N
372	hsa-mir-126-5p	19.918	3	17	N
373	cel-mir-39	12.233	3	9	N
374	cel-mir-39	12.175	3	9	N
375	SNORD61	25.402	3	22	N
376	SNORD68	25.226	3	22	N
377	SNORD72	Undetermined	3	39	Y
378	SNORD95	24.099	3	21	N
379	SNORD96A	26.158	3	23	N
380	RNU6-2	28.342	3	25	N
381	miRTC	16.206	3	13	N
382	miRTC	16.275	3	13	N
383	PPC	18.699	3	16	N
384	PPC	18.547	3	15	N
