* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009UAW
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\18.eds
* Experiment Name = _C3009UAW
* Experiment Run End Time = 2013-04-26 21:56:20 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP	EXPFAIL	MTP
165	hsa-mir-3923	29.648	3	26	N	N	N
166	hsa-let-7e-5p	23.845	3	21	N	N	N
167	hsa-mir-335-3p	30.087	3	27	N	N	N
168	hsa-mir-345-5p	32.851	3	30	N	N	N
169	hsa-mir-485-5p	28.693	3	26	N	N	N
170	hsa-mir-3183	24.625	3	21	N	N	N
171	hsa-mir-532-3p	24.967	3	22	N	N	N
172	hsa-mir-542-3p	29.364	3	26	N	N	N
173	hsa-mir-199a-3p	24.672	3	21	N	N	N
174	hsa-mir-337-3p	27.123	3	24	N	N	N
175	hsa-mir-4301	24.992	3	22	N	N	N
176	hsa-mir-381-3p	33.630	3	31	N	N	N
177	hsa-mir-412	32.050	3	29	N	N	N
178	hsa-mir-505-3p	27.943	3	25	N	N	N
179	hsa-mir-136-3p	Undetermined	3	39	Y	Y	N
180	hsa-mir-363-3p	29.351	3	26	N	N	N
181	hsa-mir-1301	27.006	3	24	N	N	N
182	hsa-let-7g-3p	29.566	3	26	N	N	N
183	hsa-mir-598	32.138	3	29	N	N	N
184	hsa-mir-221-3p	27.986	3	24	N	N	N
185	hsa-mir-28-3p	27.106	3	24	N	N	N
186	hsa-mir-629-3p	28.108	3	25	N	N	N
187	hsa-mir-4267	29.944	3	27	N	N	N
188	hsa-mir-3131	26.572	3	23	N	N	N
189	hsa-mir-124-3p	29.141	3	26	N	N	N
190	hsa-mir-155-5p	29.988	3	27	N	N	N
191	hsa-mir-486-3p	24.772	3	22	N	N	N
192	hsa-mir-26a-5p	21.395	3	18	N	N	N
193	hsa-mir-98-5p	28.850	3	26	N	N	N
194	hsa-mir-144-3p	24.994	3	22	N	N	N
195	hsa-mir-20a-5p	22.917	3	20	N	N	N
196	hsa-mir-195-5p	21.559	3	18	N	N	N
197	hsa-mir-3191-3p	29.786	3	26	N	N	Y
198	hsa-mir-4454	24.587	3	21	N	N	N
199	hsa-mir-766-3p	23.402	3	20	N	N	N
200	hsa-mir-99b-5p	27.495	3	24	N	N	N
201	hsa-mir-140-5p	31.022	3	28	N	N	N
202	hsa-let-7d-3p	24.422	3	21	N	N	N
203	hsa-mir-328	20.876	3	18	N	N	N
204	hsa-mir-652-3p	27.358	3	24	N	N	N
205	hsa-mir-133a	34.435	3	31	N	N	N
206	hsa-mir-379-5p	31.991	3	29	N	N	N
207	hsa-mir-27a-3p	22.134	3	19	N	N	N
208	hsa-mir-664a-3p	27.820	3	25	N	N	N
209	hsa-mir-185-5p	22.563	3	19	N	N	N
210	hsa-mir-519b-5p	25.181	3	22	N	N	N
211	hsa-mir-4258	28.317	3	25	N	N	N
212	hsa-mir-141-3p	32.754	3	30	N	N	N
213	hsa-mir-370	29.925	3	27	N	N	N
214	hsa-let-7f-2-3p	30.011	3	27	N	N	N
215	hsa-mir-23b-3p	24.691	3	22	N	N	N
216	hsa-mir-378h	31.268	3	28	N	N	N
217	hsa-mir-122-5p	22.630	3	19	N	N	N
218	hsa-mir-424-3p	Undetermined	3	39	Y	Y	N
219	hsa-mir-542-5p	Undetermined	3	39	Y	Y	N
220	hsa-mir-433	26.509	3	23	N	N	N
221	hsa-mir-140-3p	26.412	3	23	N	N	N
222	hsa-mir-1976	34.776	3	32	N	N	N
223	hsa-mir-24-3p	23.301	3	20	N	N	N
224	hsa-let-7d-5p	22.063	3	19	N	N	N
225	hsa-mir-215	26.920	3	24	N	N	N
226	hsa-mir-548d-5p	32.073	3	29	N	N	Y
227	hsa-mir-130b-3p	25.447	3	22	N	N	N
228	hsa-mir-1183	26.514	3	23	N	N	N
229	hsa-let-7a-5p	23.135	3	20	N	N	N
230	hsa-mir-4505	26.829	3	23	N	N	N
231	hsa-mir-208a	26.509	3	23	N	N	N
232	hsa-mir-211-5p	Undetermined	3	35	N	N	N
233	hsa-mir-1247-5p	26.967	3	24	N	N	N
234	hsa-mir-378g	27.283	3	24	N	N	N
235	hsa-mir-485-3p	30.785	3	28	N	N	N
236	hsa-mir-9-5p	32.215	3	29	N	N	N
237	hsa-mir-148a-3p	22.664	3	19	N	N	N
238	hsa-mir-5095	28.911	3	26	N	N	N
239	hsa-mir-409-3p	28.503	3	25	N	N	N
240	hsa-mir-361-5p	27.370	3	24	N	N	N
241	hsa-mir-331-3p	32.614	3	29	N	N	N
